ID,pre_nom,pre_denom,Precision,re_nom,re_denom,Recall,F1
1,0,10,0.0,0,4,0.0,0.0
3,1,1,1.0,1,1,1.0,1.0
4,1,2,0.5,1,3,0.3333333333333333,0.4
5,2,2,1.0,2,2,1.0,1.0
6,1,2,0.5,1,1,1.0,0.6666666666666666
7,0,2,0.0,0,0,0.0,0.0
8,2,13,0.15384615384615385,2,2,1.0,0.2666666666666667
9,0,4,0.0,0,1,0.0,0.0
10,2,2,1.0,2,2,1.0,1.0
11,3,4,0.75,3,4,0.75,0.75
12,3,4,0.75,3,3,1.0,0.8571428571428571
13,0,0,0.0,0,3,0.0,0.0
14,0,2,0.0,0,3,0.0,0.0
15,1,7,0.14285714285714285,1,3,0.3333333333333333,0.2
16,0,4,0.0,0,2,0.0,0.0
17,2,7,0.2857142857142857,2,2,1.0,0.4444444444444445
19,1,6,0.16666666666666666,1,1,1.0,0.2857142857142857
20,0,0,0.0,0,2,0.0,0.0
22,2,5,0.4,2,5,0.4,0.4000000000000001
23,1,1,1.0,1,1,1.0,1.0
24,1,1,1.0,1,1,1.0,1.0
25,1,2,0.5,1,1,1.0,0.6666666666666666
26,4,5,0.8,4,4,1.0,0.888888888888889
27,3,3,1.0,3,3,1.0,1.0
28,2,7,0.2857142857142857,2,2,1.0,0.4444444444444445
30,3,13,0.23076923076923078,3,3,1.0,0.375
31,2,6,0.3333333333333333,2,4,0.5,0.4
32,2,2,1.0,2,2,1.0,1.0
34,1,4,0.25,1,3,0.3333333333333333,0.28571428571428575
35,0,2,0.0,0,1,0.0,0.0
36,4,11,0.36363636363636365,4,7,0.5714285714285714,0.4444444444444444
38,0,2,0.0,0,1,0.0,0.0
39,1,2,0.5,1,1,1.0,0.6666666666666666
40,1,8,0.125,1,2,0.5,0.2
41,3,4,0.75,3,5,0.6,0.6666666666666665
42,1,7,0.14285714285714285,1,2,0.5,0.22222222222222224
43,0,0,0.0,0,1,0.0,0.0
45,2,4,0.5,2,4,0.5,0.5
46,0,4,0.0,0,1,0.0,0.0
47,1,3,0.3333333333333333,1,2,0.5,0.4
48,2,3,0.6666666666666666,2,2,1.0,0.8
49,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
50,0,7,0.0,0,2,0.0,0.0
52,0,16,0.0,0,0,0.0,0.0
53,3,4,0.75,3,4,0.75,0.75
54,1,1,1.0,1,1,1.0,1.0
55,0,11,0.0,0,2,0.0,0.0
56,1,4,0.25,1,4,0.25,0.25
57,2,5,0.4,2,3,0.6666666666666666,0.5
58,3,4,0.75,3,4,0.75,0.75
59,2,6,0.3333333333333333,2,2,1.0,0.5
60,0,1,0.0,0,1,0.0,0.0
61,2,4,0.5,2,2,1.0,0.6666666666666666
62,3,6,0.5,3,5,0.6,0.5454545454545454
63,0,4,0.0,0,2,0.0,0.0
64,4,6,0.6666666666666666,4,5,0.8,0.7272727272727272
67,1,12,0.08333333333333333,1,1,1.0,0.15384615384615385
68,1,6,0.16666666666666666,1,3,0.3333333333333333,0.2222222222222222
70,2,13,0.15384615384615385,2,3,0.6666666666666666,0.25
71,3,4,0.75,3,4,0.75,0.75
72,0,2,0.0,0,1,0.0,0.0
73,1,2,0.5,1,2,0.5,0.5
74,1,8,0.125,1,4,0.25,0.16666666666666666
75,0,2,0.0,0,1,0.0,0.0
76,2,2,1.0,2,3,0.6666666666666666,0.8
77,1,3,0.3333333333333333,1,1,1.0,0.5
78,2,12,0.16666666666666666,2,2,1.0,0.2857142857142857
79,1,3,0.3333333333333333,1,2,0.5,0.4
80,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
81,2,6,0.3333333333333333,2,3,0.6666666666666666,0.4444444444444444
82,1,2,0.5,1,3,0.3333333333333333,0.4
83,3,4,0.75,3,3,1.0,0.8571428571428571
86,1,3,0.3333333333333333,1,1,1.0,0.5
87,2,2,1.0,2,2,1.0,1.0
88,0,4,0.0,0,3,0.0,0.0
89,1,7,0.14285714285714285,1,2,0.5,0.22222222222222224
90,1,7,0.14285714285714285,1,2,0.5,0.22222222222222224
91,3,3,1.0,3,3,1.0,1.0
92,1,3,0.3333333333333333,1,2,0.5,0.4
94,3,10,0.3,3,3,1.0,0.4615384615384615
95,2,4,0.5,2,2,1.0,0.6666666666666666
96,1,1,1.0,1,3,0.3333333333333333,0.5
97,0,2,0.0,0,2,0.0,0.0
98,0,3,0.0,0,3,0.0,0.0
99,2,7,0.2857142857142857,2,2,1.0,0.4444444444444445
100,2,3,0.6666666666666666,2,2,1.0,0.8
101,2,3,0.6666666666666666,2,2,1.0,0.8
102,3,13,0.23076923076923078,3,3,1.0,0.375
103,1,2,0.5,1,2,0.5,0.5
105,2,5,0.4,2,2,1.0,0.5714285714285715
106,1,2,0.5,1,3,0.3333333333333333,0.4
107,3,13,0.23076923076923078,3,3,1.0,0.375
108,0,11,0.0,0,0,0.0,0.0
109,3,3,1.0,3,4,0.75,0.8571428571428571
110,0,4,0.0,0,2,0.0,0.0
112,0,3,0.0,0,2,0.0,0.0
113,2,3,0.6666666666666666,2,2,1.0,0.8
114,2,6,0.3333333333333333,2,5,0.4,0.3636363636363636
115,2,4,0.5,2,2,1.0,0.6666666666666666
117,1,1,1.0,1,1,1.0,1.0
118,4,4,1.0,4,4,1.0,1.0
120,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
123,1,5,0.2,1,4,0.25,0.22222222222222224
124,1,1,1.0,1,1,1.0,1.0
125,3,5,0.6,3,4,0.75,0.6666666666666665
126,2,5,0.4,2,4,0.5,0.4444444444444445
127,0,0,0.0,0,1,0.0,0.0
128,2,3,0.6666666666666666,2,2,1.0,0.8
129,0,0,0.0,0,3,0.0,0.0
130,0,2,0.0,0,1,0.0,0.0
131,1,4,0.25,1,3,0.3333333333333333,0.28571428571428575
132,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
133,1,2,0.5,1,4,0.25,0.3333333333333333
134,3,10,0.3,3,5,0.6,0.4
136,0,0,0.0,0,3,0.0,0.0
137,0,2,0.0,0,4,0.0,0.0
138,2,2,1.0,2,2,1.0,1.0
139,1,6,0.16666666666666666,1,3,0.3333333333333333,0.2222222222222222
140,4,4,1.0,4,4,1.0,1.0
144,0,3,0.0,0,1,0.0,0.0
147,1,10,0.1,1,1,1.0,0.18181818181818182
148,2,12,0.16666666666666666,2,2,1.0,0.2857142857142857
150,1,2,0.5,1,2,0.5,0.5
151,0,2,0.0,0,0,0.0,0.0
152,2,6,0.3333333333333333,2,3,0.6666666666666666,0.4444444444444444
155,4,6,0.6666666666666666,4,5,0.8,0.7272727272727272
157,2,2,1.0,2,2,1.0,1.0
159,3,3,1.0,3,3,1.0,1.0
160,0,4,0.0,0,1,0.0,0.0
162,1,4,0.25,1,3,0.3333333333333333,0.28571428571428575
163,1,2,0.5,1,1,1.0,0.6666666666666666
164,1,13,0.07692307692307693,1,2,0.5,0.13333333333333336
165,1,3,0.3333333333333333,1,2,0.5,0.4
166,1,6,0.16666666666666666,1,1,1.0,0.2857142857142857
170,0,2,0.0,0,1,0.0,0.0
173,1,2,0.5,1,2,0.5,0.5
174,0,6,0.0,0,0,0.0,0.0
175,0,1,0.0,0,0,0.0,0.0
176,1,1,1.0,1,1,1.0,1.0
177,1,4,0.25,1,2,0.5,0.3333333333333333
178,1,1,1.0,1,1,1.0,1.0
179,1,8,0.125,1,3,0.3333333333333333,0.18181818181818182
180,3,3,1.0,3,4,0.75,0.8571428571428571
181,2,3,0.6666666666666666,2,2,1.0,0.8
182,1,1,1.0,1,2,0.5,0.6666666666666666
183,2,4,0.5,2,4,0.5,0.5
186,0,0,0.0,0,1,0.0,0.0
188,0,6,0.0,0,0,0.0,0.0
190,4,6,0.6666666666666666,4,5,0.8,0.7272727272727272
191,0,10,0.0,0,2,0.0,0.0
192,1,2,0.5,1,2,0.5,0.5
193,3,3,1.0,3,3,1.0,1.0
196,1,3,0.3333333333333333,1,2,0.5,0.4
197,0,0,0.0,0,1,0.0,0.0
198,3,3,1.0,3,3,1.0,1.0
199,2,10,0.2,2,3,0.6666666666666666,0.30769230769230765
200,2,2,1.0,2,2,1.0,1.0
201,0,6,0.0,0,0,0.0,0.0
202,3,4,0.75,3,3,1.0,0.8571428571428571
203,3,3,1.0,3,3,1.0,1.0
204,2,2,1.0,2,2,1.0,1.0
205,0,1,0.0,0,0,0.0,0.0
206,3,10,0.3,3,3,1.0,0.4615384615384615
207,1,1,1.0,1,1,1.0,1.0
208,1,4,0.25,1,2,0.5,0.3333333333333333
209,1,4,0.25,1,4,0.25,0.25
211,2,13,0.15384615384615385,2,4,0.5,0.23529411764705882
212,0,6,0.0,0,3,0.0,0.0
214,1,3,0.3333333333333333,1,2,0.5,0.4
215,1,6,0.16666666666666666,1,1,1.0,0.2857142857142857
216,0,0,0.0,0,2,0.0,0.0
217,0,3,0.0,0,0,0.0,0.0
219,2,2,1.0,2,2,1.0,1.0
220,2,10,0.2,2,4,0.5,0.28571428571428575
222,1,3,0.3333333333333333,1,2,0.5,0.4
223,0,2,0.0,0,1,0.0,0.0
225,0,11,0.0,0,0,0.0,0.0
229,0,3,0.0,0,1,0.0,0.0
230,0,5,0.0,0,2,0.0,0.0
231,0,0,0.0,0,3,0.0,0.0
232,2,7,0.2857142857142857,2,5,0.4,0.3333333333333333
233,2,7,0.2857142857142857,2,4,0.5,0.36363636363636365
234,1,4,0.25,1,2,0.5,0.3333333333333333
235,1,7,0.14285714285714285,1,3,0.3333333333333333,0.2
236,0,10,0.0,0,4,0.0,0.0
237,1,2,0.5,1,1,1.0,0.6666666666666666
238,2,7,0.2857142857142857,2,2,1.0,0.4444444444444445
239,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
240,0,12,0.0,0,0,0.0,0.0
241,3,7,0.42857142857142855,3,5,0.6,0.5
242,0,10,0.0,0,2,0.0,0.0
243,0,2,0.0,0,2,0.0,0.0
244,0,10,0.0,0,0,0.0,0.0
246,1,2,0.5,1,6,0.16666666666666666,0.25
247,1,4,0.25,1,1,1.0,0.4
248,1,7,0.14285714285714285,1,3,0.3333333333333333,0.2
249,0,2,0.0,0,0,0.0,0.0
251,1,10,0.1,1,1,1.0,0.18181818181818182
252,3,3,1.0,3,4,0.75,0.8571428571428571
254,2,4,0.5,2,4,0.5,0.5
256,1,13,0.07692307692307693,1,1,1.0,0.14285714285714288
257,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
259,3,4,0.75,3,3,1.0,0.8571428571428571
260,3,4,0.75,3,4,0.75,0.75
262,1,13,0.07692307692307693,1,4,0.25,0.11764705882352941
263,1,1,1.0,1,1,1.0,1.0
264,2,2,1.0,2,2,1.0,1.0
266,1,3,0.3333333333333333,1,2,0.5,0.4
267,0,4,0.0,0,2,0.0,0.0
268,2,13,0.15384615384615385,2,5,0.4,0.2222222222222222
270,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
271,1,1,1.0,1,1,1.0,1.0
272,3,6,0.5,3,4,0.75,0.6
273,0,2,0.0,0,0,0.0,0.0
274,1,3,0.3333333333333333,1,1,1.0,0.5
275,2,3,0.6666666666666666,2,2,1.0,0.8
277,1,1,1.0,1,2,0.5,0.6666666666666666
278,3,3,1.0,3,4,0.75,0.8571428571428571
279,3,5,0.6,3,5,0.6,0.6
281,1,4,0.25,1,2,0.5,0.3333333333333333
282,3,4,0.75,3,4,0.75,0.75
284,1,3,0.3333333333333333,1,5,0.2,0.25
285,1,6,0.16666666666666666,1,2,0.5,0.25
286,1,1,1.0,1,1,1.0,1.0
287,3,4,0.75,3,4,0.75,0.75
288,0,0,0.0,0,5,0.0,0.0
291,0,0,0.0,0,3,0.0,0.0
294,0,6,0.0,0,1,0.0,0.0
296,0,6,0.0,0,1,0.0,0.0
297,1,1,1.0,1,2,0.5,0.6666666666666666
298,3,3,1.0,3,3,1.0,1.0
299,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
300,3,8,0.375,3,5,0.6,0.4615384615384615
301,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
302,0,1,0.0,0,1,0.0,0.0
303,0,2,0.0,0,1,0.0,0.0
304,0,3,0.0,0,3,0.0,0.0
305,0,2,0.0,0,2,0.0,0.0
306,0,0,0.0,0,2,0.0,0.0
307,0,5,0.0,0,3,0.0,0.0
308,0,3,0.0,0,2,0.0,0.0
309,1,7,0.14285714285714285,1,1,1.0,0.25
311,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333
312,0,2,0.0,0,6,0.0,0.0
313,3,4,0.75,3,4,0.75,0.75
314,2,4,0.5,2,4,0.5,0.5
315,1,3,0.3333333333333333,1,2,0.5,0.4
316,2,5,0.4,2,3,0.6666666666666666,0.5
317,0,16,0.0,0,0,0.0,0.0
318,3,5,0.6,3,4,0.75,0.6666666666666665
319,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
320,0,2,0.0,0,0,0.0,0.0
321,1,2,0.5,1,1,1.0,0.6666666666666666
322,0,0,0.0,0,5,0.0,0.0
323,1,5,0.2,1,5,0.2,0.20000000000000004
324,3,5,0.6,3,4,0.75,0.6666666666666665
326,1,2,0.5,1,1,1.0,0.6666666666666666
327,2,3,0.6666666666666666,2,2,1.0,0.8
328,3,5,0.6,3,4,0.75,0.6666666666666665
330,2,5,0.4,2,2,1.0,0.5714285714285715
332,2,6,0.3333333333333333,2,4,0.5,0.4
333,2,2,1.0,2,2,1.0,1.0
334,2,14,0.14285714285714285,2,4,0.5,0.22222222222222224
335,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333
336,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
338,1,6,0.16666666666666666,1,6,0.16666666666666666,0.16666666666666666
339,2,4,0.5,2,4,0.5,0.5
342,1,1,1.0,1,1,1.0,1.0
343,0,6,0.0,0,1,0.0,0.0
344,3,7,0.42857142857142855,3,3,1.0,0.6
345,1,2,0.5,1,1,1.0,0.6666666666666666
346,3,4,0.75,3,3,1.0,0.8571428571428571
347,3,5,0.6,3,5,0.6,0.6
348,4,5,0.8,4,5,0.8,0.8000000000000002
349,5,5,1.0,5,5,1.0,1.0
350,0,2,0.0,0,4,0.0,0.0
351,2,2,1.0,2,2,1.0,1.0
352,1,1,1.0,1,1,1.0,1.0
353,3,4,0.75,3,9,0.3333333333333333,0.46153846153846156
354,2,2,1.0,2,2,1.0,1.0
355,0,9,0.0,0,2,0.0,0.0
356,2,2,1.0,2,2,1.0,1.0
357,1,3,0.3333333333333333,1,2,0.5,0.4
358,1,6,0.16666666666666666,1,1,1.0,0.2857142857142857
360,0,1,0.0,0,0,0.0,0.0
361,0,1,0.0,0,1,0.0,0.0
362,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
363,1,10,0.1,1,1,1.0,0.18181818181818182
364,1,3,0.3333333333333333,1,2,0.5,0.4
365,1,6,0.16666666666666666,1,2,0.5,0.25
366,2,5,0.4,2,2,1.0,0.5714285714285715
367,3,3,1.0,3,3,1.0,1.0
368,2,3,0.6666666666666666,2,2,1.0,0.8
369,1,3,0.3333333333333333,1,2,0.5,0.4
370,2,12,0.16666666666666666,2,2,1.0,0.2857142857142857
371,1,12,0.08333333333333333,1,1,1.0,0.15384615384615385
373,1,3,0.3333333333333333,1,4,0.25,0.28571428571428575
374,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333
375,0,0,0.0,0,4,0.0,0.0
376,1,4,0.25,1,3,0.3333333333333333,0.28571428571428575
377,4,4,1.0,4,4,1.0,1.0
378,3,3,1.0,3,3,1.0,1.0
379,0,0,0.0,0,3,0.0,0.0
380,3,4,0.75,3,5,0.6,0.6666666666666665
381,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
383,3,4,0.75,3,3,1.0,0.8571428571428571
384,1,3,0.3333333333333333,1,3,0.3333333333333333,0.3333333333333333
385,1,3,0.3333333333333333,1,1,1.0,0.5
387,0,12,0.0,0,0,0.0,0.0
388,2,13,0.15384615384615385,2,4,0.5,0.23529411764705882
389,1,13,0.07692307692307693,1,3,0.3333333333333333,0.125
390,0,3,0.0,0,1,0.0,0.0
391,2,7,0.2857142857142857,2,4,0.5,0.36363636363636365
392,3,3,1.0,3,3,1.0,1.0
393,3,4,0.75,3,3,1.0,0.8571428571428571
394,4,5,0.8,4,5,0.8,0.8000000000000002
396,4,6,0.6666666666666666,4,4,1.0,0.8
397,0,3,0.0,0,0,0.0,0.0
398,1,5,0.2,1,3,0.3333333333333333,0.25
399,2,13,0.15384615384615385,2,3,0.6666666666666666,0.25
401,2,3,0.6666666666666666,2,2,1.0,0.8
402,3,3,1.0,3,3,1.0,1.0
404,1,5,0.2,1,1,1.0,0.33333333333333337
407,3,4,0.75,3,3,1.0,0.8571428571428571
409,1,4,0.25,1,4,0.25,0.25
410,0,2,0.0,0,5,0.0,0.0
411,0,6,0.0,0,0,0.0,0.0
412,1,3,0.3333333333333333,1,2,0.5,0.4
413,0,3,0.0,0,0,0.0,0.0
414,3,3,1.0,3,3,1.0,1.0
416,2,5,0.4,2,3,0.6666666666666666,0.5
417,3,5,0.6,3,3,1.0,0.7499999999999999
419,2,14,0.14285714285714285,2,3,0.6666666666666666,0.23529411764705882
420,0,6,0.0,0,1,0.0,0.0
421,2,3,0.6666666666666666,2,3,0.6666666666666666,0.6666666666666666
422,2,5,0.4,2,4,0.5,0.4444444444444445
423,0,10,0.0,0,3,0.0,0.0
424,2,3,0.6666666666666666,2,4,0.5,0.5714285714285715
425,2,5,0.4,2,5,0.4,0.4000000000000001
426,1,5,0.2,1,2,0.5,0.28571428571428575
427,2,4,0.5,2,3,0.6666666666666666,0.5714285714285715
428,2,4,0.5,2,2,1.0,0.6666666666666666
429,1,4,0.25,1,3,0.3333333333333333,0.28571428571428575
430,1,4,0.25,1,1,1.0,0.4
431,3,4,0.75,3,4,0.75,0.75
432,0,1,0.0,0,3,0.0,0.0
433,1,6,0.16666666666666666,1,5,0.2,0.1818181818181818
434,2,11,0.18181818181818182,2,2,1.0,0.3076923076923077
435,0,4,0.0,0,2,0.0,0.0
